"LC.MS.run","External.ID2","BarnID","focal_ID","hairDate","Testo_pg.mg","Prog_pg.mgSE","Cort_pg.mg","AEA.pg.mg","AG2.pg.mg","OEA.ng.mg","A.ng.mg","PEA.ng.mg","AGD","weight","tail","hairDateMIN30d","DOB","sex","Age","Season","closestPopCheck_hairSampling","Density","Females.at.hairSampling","closestDateHandling","weight.at.hair"
"1_775",1,"'0007B00C21","'0007B00C21",2018-01-04,0.87,2.43,35.44,31.95,31.44,3.19,2.96,3.7,"3","5.3","37",2017-12-05,17278,"F",257,"Winter",2017-12-08,407,242,NA,NA
"1_775",2,"'000799D5C7","'000799D5C7",2018-01-10,2.65,3.24,75.13,27.5,24.79,2,1.81,2.54,"4.2","6.8","43",2017-12-11,17265,"M",276,"Winter",2017-12-08,407,242,NA,NA
"1_775",3,"'0007B11E1E","'0007B11E1E",2018-01-09,1.78,4.03,49.82,31.94,22.34,2.71,2.63,3.32,NA,"17.7",NA,2017-12-10,17387,"M",153,"Winter",2017-12-08,407,242,NA,NA
"1_775",4,"'0007B11BE2","'0007B11BE2",2018-01-09,3.72,3.93,97.97,NA,NA,NA,NA,NA,"5.6","7","50",2017-12-10,17315,"M",225,"Winter",2017-12-08,407,242,NA,NA
"1_775",5,"'0007B1025D","'0007B1025D",2018-01-09,1.25,6.69,51.04,17.21,14.53,1.48,1.7,2.27,"3.8","5.3","44",2017-12-10,17309,"F",231,"Winter",2017-12-08,407,242,NA,NA
"1_775",6,"'0007B0DF65","'0007B0DF65",2018-01-09,0.84,3.52,36.61,36.23,49.07,2.8,1.62,3.27,"2.9","6.1","44.5",2017-12-10,17301,"F",239,"Winter",2017-12-08,407,242,NA,NA
"1_775",7,"'000783B8AF","'000783B8AF",2018-01-05,1.13,3.61,40.3,34.03,22.04,2.55,1.85,3.21,NA,NA,NA,2017-12-06,17278,"F",258,"Winter",2017-12-08,407,242,NA,NA
"1_775",8,"'0007AFDB00","'0007AFDB00",2018-01-03,4.05,3.06,55.39,22.83,13.3,2.47,2.46,3.16,"5.3","5.9","43",2017-12-04,17312,"M",222,"Winter",2017-12-08,407,242,NA,NA
"1_775",9,"'000783BB43","'000783BB43",2018-01-02,1.35,6.45,55.58,22.9,24.18,2.2,1.57,2.76,"3.2","6.3","51",2017-12-03,17263,"F",270,"Winter",2017-12-08,407,242,NA,NA
"1_775",10,"'0007B11FD9","'0007B11FD9",2017-12-31,NA,2.55,32.52,28.47,50.99,2.61,1.24,2.37,NA,"21.4",NA,2017-12-01,NA,"M",NA,"Winter",2017-12-08,407,242,NA,NA
