focal_ID,Seq
'0006B36920,1
'0006B380D9,2
'0006B3E94E,3
'0006B8CB1F,4
'0006B8D420,5
'0006B8D7E0,6
'0006B8D859,7
'0006B8DC47,8
'0006B8DC71,9
'0006B8EBF2,10
'0006B8F125,11
'0006B9B64B,12
'0006B9B6C4,13
'0006B9B745,14
'0006B9C88D,15
'0006B9D7D8,16
'0006CC3EFA,17
'0006CC41E9,18
'0006CC4228,19
'0006CC433A,20
'0006CC4405,21
'0006CC44DB,22
'0006CC4698,23
'0006CC48CB,24
'0006CC49D7,25
'0006CC4A3E,26
'0006CC4AE7,27
'0006CC4AE8,28
'0006CC4B21,29
'0006CC4CD3,30
'0006CC4D6E,31
'0006CC4E27,32
'0006CC4F59,33
'0006CC50D2,34
'0006CC50D5,35
'0006CC50E1,36
'0006CC52B3,37
'0006CC5684,38
'0006CC56EC,39
'0006CC5954,40
'0006CC5A26,41
'0006CC5C30,42
'0006CC5CFA,43
'0006CC5D4D,44
'0006CC5F17,45
'0006CC5FDF,46
'0006CC62D7,47
'0006CC636C,48
'0006CC6413,49
'0006CC64B8,50
'0006CC64C7,51
'0006CC64F9,52
'0006CC66F4,53
'0006CC67A7,54
'0006CC688E,55
'0006CC690F,56
'0006CC6992,57
'0006CC69F3,58
'0006CC6AEE,59
'0006CC6C08,60
'0006CC6C46,61
'0006CC6EE1,62
'0006CC6FC5,63
'0006CC712A,64
'0006CC7231,65
'0006CC74DC,66
'0006CC75C4,67
'0006CC7603,68
'0006CC7774,69
'0006CC7803,70
'0006CC78A7,71
'0006CC78D9,72
'0006CC78E9,73
'0006CC7A38,74
'0006CD3165,75
'0006CD3416,76
'0006CD34D4,77
'0006CD3DA5,78
'0006CD3EF2,79
'0006CD3F05,80
'0006CD44FE,81
'0006CD4515,82
'0006CD4748,83
'0006CD4998,84
'0006CD4D35,85
'0006CD5181,86
'0006CD5350,87
'0006CD545B,88
'0006CD5538,89
'0006CD56C7,90
'0006CD59F5,91
'0006CD5BC3,92
'0006CD5D56,93
'0006CD6401,94
'0006CD6534,95
'0006E1ED7B,96
'0006E1FEF2,97
'0006E1FF68,98
'0006E20684,99
'0006E21DB8,100
'0006E21F5E,101
'0006E21F64,102
'0006E21FD4,103
'0006E2205F,104
'0006E22061,105
'0006E22321,106
'0006E2244E,107
'0006E224D1,108
'0006E2295F,109
'0006E229CA,110
'0006E229CB,111
'0006E22DFB,112
'0006E22EBB,113
'0006E22EC4,114
'0006E22F18,115
'0006E23052,116
'0006E23076,117
'0006E23124,118
'0006E234B5,119
'0006E235FA,120
'0006E23765,121
'0006E2393E,122
'0006E23A9C,123
'0006E23DE3,124
'0006E2413E,125
'0006E241E1,126
'0006E2432C,127
'0006E244F8,128
'0006E2451A,129
'0006E24C54,130
'0006E24DA7,131
'0006E24F5B,132
'0006E24FDC,133
'0006E25430,134
'0006E25535,135
'0006E39F18,136
'0006E3A2CF,137
'0006E43D11,138
'0006E44431,139
'0006E4491D,140
'0006E44BA1,141
'0006E44CA2,142
'0006E44EBC,143
'0006E45175,144
'0006E4548A,145
'0006E4562E,146
'0006E458C6,147
'0006E45B71,148
'0006E45EBB,149
'0006E46BD6,150
'0006E46BDA,151
'0006E46C55,152
'0006E47082,153
'0006E470EB,154
'0006E47156,155
'0006E47302,156
'0006E473CB,157
'0006E47691,158
'0006E479FB,159
'0006E47B58,160
'0006E47D94,161
'0006E47E52,162
'0006E47F10,163
'0006E47F15,164
'0006E47F19,165
'0006E47F36,166
'0006E47F80,167
'0006E47FA0,168
'0006E47FE5,169
'0006E48094,170
'0006E480C9,171
'0006E481BB,172
'0006E48277,173
'0006E4836C,174
'0006E4836E,175
'0006E485F7,176
'0006E4863A,177
'0006E487C4,178
'0006E488C1,179
'0006E48B7F,180
'0006E48BF1,181
'0006E48C7B,182
'0006E48D25,183
'0006E48DB2,184
'0006E48E18,185
'0006E49030,186
'0006E490AE,187
'0006E49154,188
'0006E491DB,189
'0006E492C7,190
'0006E492D3,191
'0006E49350,192
'0006E494E8,193
'0006E49501,194
'0006E49571,195
'0006E4960B,196
'0006E4993D,197
'0006E49945,198
'0006E49977,199
'0006E499DF,200
'0006E49A67,201
'0006E49BF1,202
'0006E49D92,203
'0006E49ECD,204
'0006E4A07C,205
'0006E4A1F4,206
'0006E4A2F9,207
'0006E4A373,208
'0006E4A40D,209
'0006E4A410,210
'0006E4A416,211
'0006E4A489,212
'0006E4A507,213
'0006E4A51D,214
'0006E4A6EF,215
'0006E4A816,216
'0006E4A899,217
'0006E4AA76,218
'0006E4AB4A,219
'0006E4ABD2,220
'0006E4AC47,221
'0006E4AC4A,222
'0006E4ACC2,223
'0006E4ADA0,224
'0006E4B012,225
'0006E4B0C4,226
'0006E4B124,227
'0006E4B124b,228
'0006E4B2E0,229
'0006E4B322,230
'0006E4B3C8,231
'0006E4B3FF,232
'0006E6A3E4,233
'0006E6A606,234
'0006E6A984,235
'0006E6A98E,236
'0006E6AA97,237
'0006E6AC21,238
'0006E6ACA7,239
'0006E6ACC3,240
'0006E6B2F3,241
'0006E6B519,242
'0006E6B737,243
'0006E6B98C,244
'0006E6BAEC,245
'0006E6BC12,246
'0006E6BD25,247
'0006E6BE2F,248
'0006E6BFE3,249
'0006E6C422,250
'0006E6C56A,251
'0006E6C83B,252
'0006E6C8A0,253
'0006E6CAC9,254
'0006E6CB82,255
'0006E6CC28,256
'0006E6CEEE,257
'0006E6D1D2,258
'0006E84C2E,259
'0006E84F79,260
'0006E85529,261
'0006E862EC,262
'0006E8637A,263
'0006E878E0,264
'0006E9AE1D,265
'0006E9AEF3,266
'0006E9B043,267
'0006E9B1AB,268
'0006E9B223,269
'0006E9B4A4,270
'0006E9B507,271
'0006E9B62B,272
'0006E9B698,273
'0006E9B806,274
'0006E9B977,275
'0006E9BBC4,276
'0006E9BC7A,277
'0006E9BCFB,278
'0006E9C025,279
'0006E9C0AE,280
'0006E9C0FC,281
'0006E9C218,282
'0006E9C2CB,283
'0006E9C2CE,284
'0006E9C30C,285
'0006E9C320,286
'0006E9C3A8,287
'0006E9C437,288
'0006E9C45C,289
'0006E9C544,290
'0006E9C800,291
'0006E9C9E5,292
'0006E9CB37,293
'0006E9CF66,294
'0006E9D012,295
'0006E9D297,296
'0006E9D31D,297
'0006E9D436,298
'0006E9D770,299
'0006E9D8FF,300
'0006E9DA87,301
'0006E9DB3A,302
'0006E9DBF7,303
'0006E9DD9F,304
'0006E9DE5E,305
'0006E9E072,306
'0006E9E21A,307
'0006E9E2A5,308
'0006E9E2E6,309
'0006E9E61A,310
'0006E9E714,311
'0006EA0DC9,312
'0006EA1069,313
'0006EA118C,314
'0007069BD1,315
'0007069CC2,316
'000706A058,317
'000706A272,318
'000706ACC9,319
'000706ACCB,320
'000706ADDF,321
'000706BBB1,322
'000706BBB3,323
'000706BD53,324
'000706C22E,325
'000706C6DA,326
'00070719FB,327
'0007071E57,328
'00070721DE,329
'00070722E9,330
'0007072481,331
'0007072509,332
'000707250D,333
'000707269F,334
'00070726A0,335
'0007072AD6,336
'0007072BDD,337
'0007072CF2,338
'00070730A8,339
'0007073132,340
'0007073241,341
'0007073474,342
'000707350B,343
'00070736A6,344
'0007073739,345
'0007073D14,346
'0007073EA0,347
'0007074295,348
'000708BB3E,349
'000708BD61,350
'000708BE0C,351
'000708C14F,352
'000708C302,353
'000708C3D5,354
'000708C537,355
'000708C5B4,356
'000708C69D,357
'000708C823,358
'000708CA2A,359
'000708CAB2,360
'000708CB35,361
'000708CC43,362
'000708CC55,363
'000708CEF0,364
'000708D550,365
'000708D64D,366
'000708D6D4,367
'000708D8F1,368
'000708D8F5,369
'000708D8F7,370
'000708DAA9,371
'000708DCD9,372
'000708E09B,373
'000708E1B0,374
'000708E55D,375
'000708E5F0,376
'000708E7E4,377
'000708E9D9,378
'000708ECB3,379
'000708EE8A,380
'000708F028,381
'000708F105,382
'000708F1BB,383
'000708F22B,384
'000708F274,385
'000708F3D4,386
'00070B168C,387
'00070B1DBA,388
'00070B1DBB,389
'00070B2476,390
'00070B2810,391
'00070B2C4E,392
'00070B2C4F,393
'00070B36DB,394
'00070B3915,395
'00070B3CE1,396
'00070B41A4,397
'00070B42B0,398
'00070B43B7,399
'00070B490A,400
'00070B4A69,401
'00070B4B4C,402
'00070B4EE8,403
'00070B4FA4,404
'000715C1AD,405
'000719EC92,406
'00071A0184,407
'00071A02DF,408
'00071A042A,409
'00071A108B,410
'00071A1E7E,411
'00071A23A0,412
'00071A3685,413
'00071A38B5,414
'00071A4A7D,415
'00071A5A26,416
'00071FC43E,417
'00071FD2A8,418
'00071FD817,419
'00071FDC5F,420
'00071FDE68,421
'00071FFF45,422
'0007200231,423
'0007200518,424
'0007200688,425
'00072008B7,426
'00072023D8,427
'0007202D11,428
'00072037C4,429
'0007204329,430
'00072043D7,431
'0007204A8B,432
'0007204E0B,433
'0007205199,434
'0007205A58,435
'0007205ECB,436
'0007206907,437
'0007206BF3,438
'00072071C0,439
'000720756A,440
'000720843C,441
'00072094C9,442
'0007209B5B,443
'0007209EA1,444
'000721AAE9,445
'0007283882,446
'0007284644,447
'0007284B00,448
'0007284E72,449
'0007284F18,450
'0007284FC0,451
'00072851CD,452
'0007285D87,453
'0007285E6D,454
'0007285E77,455
'0007285E7A,456
'00072862D0,457
'0007286454,458
'000728651A,459
'000728697D,460
'0007287016,461
'000728701B,462
'0007287245,463
'000728724E,464
'00072873C2,465
'0007287BB9,466
'0007287BC2,467
'0007287C70,468
'00072880DF,469
'00072882FD,470
'000728830C,471
'00072883C5,472
'0007288479,473
'0007288532,474
'0007288534,475
'000728874D,476
'00072888BC,477
'000728903E,478
'000728937D,479
'000728B16C,480
'000728B176,481
'000728B64F,482
'000728B77B,483
'000728B8AA,484
'000728BA71,485
'000728BB19,486
'000728BBB3,487
'000728BC4B,488
'000728BCEC,489
'000728BEDB,490
'000728C4EC,491
'000728C634,492
'000728C64E,493
'000728C6F8,494
'000728C907,495
'000728CA6D,496
'000728CA76,497
'000728CBDE,498
'000728CD3D,499
'000728CD4E,500
'000728CE00,501
'000728CEBC,502
'000728CF64,503
'000728CF6A,504
'000728D02E,505
'000728D038,506
'000728D3E3,507
'000728D493,508
'000728D497,509
'000728D561,510
'000728D6CE,511
'000728D843,512
'000728D9B1,513
'000728DA74,514
'000728DB32,515
'000728DBEC,516
'000728DC0D,517
'000728DD74,518
'000728DEDB,519
'000728DEE5,520
'000728DFB1,521
'000728E05D,522
'000728E107,523
'000728E108,524
'000728E6DB,525
'000728E6EF,526
'000728E6F0,527
'000728E85B,528
'000728E85F,529
'000728EB32,530
'000728EB48,531
'000728EEE6,532
'000728EEF5,533
'000728EF9A,534
'000728F114,535
'000728F1CA,536
'000728F27F,537
'000728F280,538
'000728F340,539
'000728F402,540
'000728F566,541
'000728F57B,542
'000728F6F3,543
'000728F843,544
'000728F84D,545
'000728F853,546
'000728F915,547
'000728FA6C,548
'000728FB22,549
'000728FDEB,550
'000728FE90,551
