"focal_ID","motherCort","AGD.tail"
"'0007ABE022",52.25,0.168082208705016
"'0007ABF465",45.36,0.0277708680924498
"'0007B046D7",41.9,-0.47378583497038
"'0007B047DD",40.18,-0.17222913190755
"'0007B0483A",78.84,0.12932757115528
"'0007B0494E",79.99,-0.112540472520116
"'0007B04A38",106.49,-0.0722291319075503
"'0007B0D089",64.54,-0.0916064506824181
"'0007B0D346",54.47,-0.451295110069852
"'0007B0FBA5",77.33,-0.293163153745248
"'0007B0FC1C",53.06,0.209950252380412
"'0007B0FD65",53.06,0.569638911767846
"'0007B0FE51",36.94,-0.391606450682418
"'0007B0FE70",82.73,-0.0319177912949842
"'0007B0FE7F",52.25,0.22777086809245
"'0007B0FE80",40.99,-0.151295110069852
"'0007B0FFDC",45.56,-0.510983769457286
"'0007B10306",53.06,0.209950252380412
"'0007B11AC4",71.93,-0.191606450682418
"'0007B11B69",42.77,-0.0125404725201163
"'0007B11BF0",51.62,-0.46911572578189
"'0007B11C5D",34.66,0.22932757115528
"'0007B11D3D",40.91,0.0293275711552803
"'0007B11EBD",36.05,-0.507870363331625
"'0007B12003",74.74,-0.37067242884472
"'0007B12049",34.66,0.32932757115528
"'0007B12103",50.98,-0.148181703944192
"'0007B12271",71.93,-0.430361088232154
"'0007B827FE",47.85,0.22932757115528
"'0007B8289E",48.2,-0.0109837694572859
"'0007B82BFE",30.17,0.0680822087050159
"'0007B82CFB",45.59,-0.210983769457286
"'0007B82D4C",43.13,-0.488493044556757
"'0007B83018",27.65,0.22777086809245
"'0007B834A9",60.75,0.489016230542714
"'0007B8371B",58.52,0.0502615929929781
"'0007B83875",35.22,-0.27222913190755
"'0007B83979",30.17,0.147148186867318
"'0007B839BE",22.54,0.0487048899301481
"'0007B84B95",30.17,0.00839354931758195
"'0007B84E57",85.65,-0.27067242884472
"'0007B8CDCB",47.55,-0.191606450682418
"'0007B8D233",51.27,0.250261592992978
"'0007B8EBA6",57.31,0.290572933605544
"'0007B8EBEA",73.02,0.0277708680924498
"'0007B8EBFD",43.13,0.009950252380412
"'0007B8ED38",43.13,0.0680822087050159
"'0007B8EEE2",46.05,-0.449738407007022
"'0007B8F244",48.46,0.00839354931758195
"'0007B8F256",43.13,-0.46911572578189
"'0007B9ADA0",52.04,-0.46755902271906
"'0007B9ADA4",77.96,0.169638911767846
"'0007B9B0D9",57.92,0.369638911767846
"'0007B9B206",63.06,-0.17067242884472
"'0007B9B2DC",50.32,-0.233474494357814
