"focal_ID","motherTesto","AGD.tail"
"'0007ABE022",1.24,0.168082208705016
"'0007ABF465",0.82,0.0277708680924498
"'0007B046D7",0.25,-0.47378583497038
"'0007B047DD",0.45,-0.17222913190755
"'0007B0483A",0.93,0.12932757115528
"'0007B0494E",1.1,-0.112540472520116
"'0007B04A38",0.94,-0.0722291319075503
"'0007B0D089",1.01,-0.0916064506824181
"'0007B0D346",0.54,-0.451295110069852
"'0007B0FBA5",0.49,-0.293163153745248
"'0007B0FC1C",3.87,0.209950252380412
"'0007B0FD65",3.87,0.569638911767846
"'0007B0FE51",0.65,-0.391606450682418
"'0007B0FE70",0.87,-0.0319177912949842
"'0007B0FE7F",1.24,0.22777086809245
"'0007B0FFDC",1.32,-0.510983769457286
"'0007B10306",3.87,0.209950252380412
"'0007B11AC4",0.53,-0.191606450682418
"'0007B11B69",0.36,-0.0125404725201163
"'0007B11BF0",1,-0.46911572578189
"'0007B11C5D",0.78,0.22932757115528
"'0007B11D3D",0.45,0.0293275711552803
"'0007B11EBD",0.56,-0.507870363331625
"'0007B12003",1.55,-0.37067242884472
"'0007B12049",0.78,0.32932757115528
"'0007B12103",1.02,-0.148181703944192
"'0007B12271",0.53,-0.430361088232154
"'0007B827FE",0.79,0.22932757115528
"'0007B8289E",1.32,-0.0109837694572859
"'0007B82BFE",1.01,0.0680822087050159
"'0007B82CFB",0.93,-0.210983769457286
"'0007B82D4C",0.66,-0.488493044556757
"'0007B83018",1.78,0.22777086809245
"'0007B834A9",0.99,0.489016230542714
"'0007B8371B",0.13,0.0502615929929781
"'0007B83979",1.01,0.147148186867318
"'0007B839BE",0.65,0.0487048899301481
"'0007B84B95",1.01,0.00839354931758195
"'0007B84E57",0.76,-0.27067242884472
"'0007B8CDCB",1.27,-0.191606450682418
"'0007B8D233",0.74,0.250261592992978
"'0007B8EBA6",0.66,0.290572933605544
"'0007B8EBEA",0.88,0.0277708680924498
"'0007B8EBFD",0.66,0.009950252380412
"'0007B8ED38",0.66,0.0680822087050159
"'0007B8EEE2",0.67,-0.449738407007022
"'0007B8F244",0.79,0.00839354931758195
"'0007B8F256",0.66,-0.46911572578189
"'0007B9ADA0",1.32,-0.46755902271906
"'0007B9B0D9",1.16,0.369638911767846
"'0007B9B206",0.94,-0.17067242884472
"'0007B9B2DC",0.45,-0.233474494357814
"'0007B9B4C4",0.82,-0.17067242884472
"'0007B9B510",0.76,0.0293275711552803
"'0007B9B5F1",0.34,-0.0884930445567576
"'0007B9B650",0.71,0.292129636668374
"'0007BA9247",0.61,0.23088427421811
"'0007BA93D1",0.37,0.0727523178935065
"'0007BA9509",0.65,-0.0109837694572859
"'0007BA9864",1.27,0.00683684625475188
"'0007BA9B08",0.76,-0.27067242884472
"'0007BAB15D",0.21,0.0711956148306764
"'0007BAB166",0.66,-0.290049747619588
"'0007BAB19C",0.6,-0.0706724288447198
"'0007BAB1E6",0.66,-0.548181703944192
"'0007BAB2E9",0.66,-0.588493044556758
"'0007BAB371",0.8,0.0471481868673176
"'0007BABECC",0.82,-0.410983769457286
"'0007BABF8A",0.64,-0.36755902271906
"'0007BAC005",0.65,-0.131917791294984
"'0007BAC031",0.98,0.0890162305427142
"'0007BAC0E3",1.27,0.168082208705016
"'0007BAC1B0",0.35,-0.0109837694572859
"'0007BAC3A9",0.66,0.190572933605544
"'0007BAC544",0.83,-0.0109837694572859
"'0007BAC5AD",0.76,-0.051295110069852
"'0007BAC5FB",0.97,-0.112540472520116
"'0007BAC8CA",0.8,-0.410983769457286
"'0007BACCE6",0.82,-0.291606450682418
"'0007BAD335",1.32,-0.0706724288447198
"'0007BAD6C9",0.45,-0.251295110069852
"'0007BAD800",0.65,-0.151295110069852
"'0007BAD854",0.35,-0.27222913190755
"'0007BAD87C",0.45,-0.231917791294984
"'0007BADA6F",0.88,0.108393549317582
"'0007BADA98",0.59,0.0665255056421859
"'0007BADAD3",0.94,0.12932757115528
"'0007BADB05",0.72,-0.190049747619588
