"LC.MS.run","focal_ID","Cort_pg.mg","Age","Season","Density","log_Cort_pg.mg"
"1_775","'0007B00C21",35.44,257,"Winter",407,3.56784112573688
"1_775","'0007B1025D",51.04,231,"Winter",407,3.93260963903653
"1_775","'0007B0DF65",36.61,239,"Winter",407,3.60032142713214
"1_775","'000783B8AF",40.3,258,"Winter",407,3.69635146895264
"1_775","'000783BB43",55.58,270,"Winter",407,4.01782342431436
"1_775","'0007B00C21",46.85,252,"Autumn",407,3.84695100868443
"1_775","'000799C800",38.51,249,"Autumn",407,3.65091794782682
"1_775","'000783CE0D",40.7,247,"Autumn",407,3.70622809244855
"1_775","'0007B00BE1",39.11,226,"Autumn",407,3.66637818876742
"1_775","'000799780B",75.94,244,"Autumn",407,4.32994355480366
"1_775","'00079AC474",56.74,253,"Autumn",407,4.0384794293807
"1_775","'0007B10045",46.37,221,"Winter",407,3.83665269840337
"1_775","'0007B00A15",41.69,249,"Winter",407,3.73026129189271
"1_775","'0007B0CFCA",48.97,260,"Autumn",407,3.89120786571423
"1_775","'00079A826F",34.02,312,"Spring",300,3.52694858696772
"1_775","'000799B387",33.21,411,"Spring",300,3.50285103538866
"1_775","'000799C8D0",42.32,282,"Spring",300,3.74525978755004
"1_775","'000799836D",39.89,307,"Spring",300,3.68612566591732
"1_775","'0007999045",39.69,310,"Spring",300,3.68109926679497
"1_775","'00079AA370",27.95,106,"Summer",404,3.33041719960111
"1_775","'00079A8C6E",34.22,118,"Summer",404,3.53281026846405
"1_775","'00079A641A",35.64,119,"Summer",404,3.57346860260261
"1_775","'00079ABD6F",52.25,398,"Summer",404,3.95603989084492
"1_775","'00079A5C05",68.65,112,"Summer",404,4.22902113221398
"1_775","'00079B0312",38.07,103,"Summer",404,3.63942657039441
"1_775","'00079AC474",65.21,116,"Summer",404,4.17761283140511
"1_775","'00079AE5EF",34.83,107,"Summer",404,3.55047908437791
"1_775","'000799DB76",39.08,107,"Summer",404,3.66561082717458
"1_775","'0007ABD3A8",36.45,109,"Summer",404,3.59594145845467
"1_775","'0007B0DD7F",31.19,115,"Summer",404,3.44009753061971
"1_775","'0007B00D2B",43.54,109,"Summer",404,3.7736800558064
"1_775","'0007AFDA4C",44.55,109,"Summer",404,3.79661215391682
"1_775","'0007B0E156",40.1,109,"Summer",404,3.69137633431252
"1_775","'0007B0197D",32,103,"Summer",404,3.46573590279973
"1_775","'0007B00A15",32.2,103,"Summer",404,3.47196645255036
"1_775","'0007B0DD0E",45.77,109,"Summer",404,3.82362885466555
"1_775","'0007B0E197",35.84,118,"Summer",404,3.57906458810673
"1_775","'0007B019FA",43.94,109,"Summer",404,3.78282506695646
"1_775","'0007ACA689",31.19,109,"Summer",404,3.44009753061971
"1_775","'000783D1D6",59.74,117,"Summer",404,4.09000181278796
"1_775","'0007B0064E",44.96,104,"Summer",404,3.80577320558544
"1_775","'0007ABCD2F",30.38,108,"Summer",404,3.41378449716763
"1_775","'0007ABF170",45.56,105,"Summer",404,3.81903013857898
"1_775","'0007ABE15F",44.15,101,"Summer",404,3.78759292704997
"1_775","'000783B8AF",35.24,109,"Summer",404,3.56218180106798
"1_775","'0007AFD8AC",40.7,115,"Summer",404,3.70622809244855
"1_775","'0007AFDBAE",50.83,109,"Summer",404,3.92848673145881
"1_775","'0007B00CC2",52.45,109,"Summer",404,3.95986033484231
"1_775","'000783C3B6",38.88,112,"Summer",404,3.66047997959224
