"LC.MS.run","focal_ID","Testo_pg.mg","Age","Season","Density"
"1_775","'0007B00C21",0.87,257,"Winter",407
"1_775","'0007B1025D",1.25,231,"Winter",407
"1_775","'0007B0DF65",0.84,239,"Winter",407
"1_775","'000783B8AF",1.13,258,"Winter",407
"1_775","'000783BB43",1.35,270,"Winter",407
"1_775","'0007B00C21",2.42,252,"Autumn",407
"1_775","'000799C800",1.11,249,"Autumn",407
"1_775","'000783CE0D",0.86,247,"Autumn",407
"1_775","'0007B00BE1",1.11,226,"Autumn",407
"1_775","'000799780B",1.35,244,"Autumn",407
"1_775","'00079AC474",1.36,253,"Autumn",407
"1_775","'0007B10045",0.9,221,"Winter",407
"1_775","'0007B00A15",1.5,249,"Winter",407
"1_775","'0007B0CFCA",0.93,260,"Autumn",407
"1_775","'00079A826F",1.24,312,"Spring",300
"1_775","'000799B387",1.29,411,"Spring",300
"1_775","'000799C8D0",1.34,282,"Spring",300
"1_775","'000799836D",1.52,307,"Spring",300
"1_775","'0007999045",1.25,310,"Spring",300
"1_775","'00079AA370",1.13,106,"Summer",404
"1_775","'00079A8C6E",1.08,118,"Summer",404
"1_775","'00079A641A",1.08,119,"Summer",404
"1_775","'00079ABD6F",1.24,398,"Summer",404
"1_775","'00079A5C05",1.07,112,"Summer",404
"1_775","'00079B0312",1.09,103,"Summer",404
"1_775","'00079AC474",1.4,116,"Summer",404
"1_775","'00079AE5EF",1.37,107,"Summer",404
"1_775","'000799DB76",0.99,107,"Summer",404
"1_775","'0007ABD3A8",1.52,109,"Summer",404
"1_775","'0007B0DD7F",2.94,115,"Summer",404
"1_775","'0007B00D2B",1.26,109,"Summer",404
"1_775","'0007AFDA4C",1.04,109,"Summer",404
"1_775","'0007B0E156",1.25,109,"Summer",404
"1_775","'0007B0197D",1.12,103,"Summer",404
"1_775","'0007B00A15",1.21,103,"Summer",404
"1_775","'0007B0DD0E",1.2,109,"Summer",404
"1_775","'0007B0E197",1.36,118,"Summer",404
"1_775","'0007B019FA",1.11,109,"Summer",404
"1_775","'0007ACA689",0.9,109,"Summer",404
"1_775","'000783D1D6",1.36,117,"Summer",404
"1_775","'0007B0064E",1.2,104,"Summer",404
"1_775","'0007ABCD2F",1.26,108,"Summer",404
"1_775","'0007ABF170",0.97,105,"Summer",404
"1_775","'0007ABE15F",1.1,101,"Summer",404
"1_775","'000783B8AF",1.01,109,"Summer",404
"1_775","'0007AFD8AC",0.87,115,"Summer",404
"1_775","'0007AFDBAE",0.99,109,"Summer",404
"1_775","'0007B00CC2",0.83,109,"Summer",404
"1_775","'000783C3B6",1.21,112,"Summer",404
"1_775","'0007B0E2E2",1.01,109,"Summer",404
"1_775","'0007ABC23D",0.96,128,"Summer",404
"1_775","'000783A501",3.87,119,"Summer",404
"1_775","'0007B00B64",0.99,107,"Summer",404
"1_775","'0007B0085F",1.64,115,"Summer",404
"1_775","'000783B5CC",1.19,115,"Summer",404
"1_775","'0007B0E0DF",4.07,109,"Summer",404
"1_775","'0007AC1576",1.02,93,"Summer",404
"1_775","'0007B0DF08",1.24,96,"Summer",404
"1_775","'0007AFD6E3",1.08,93,"Summer",404
"1_775","'000783B6C9",1.88,124,"Summer",404
"1_775","'000783B3CA",1.31,96,"Summer",404
"2_812","'00079A8C6E",0.57,397,"Spring",311
"2_812","'000783DD2A",0.38,326,"Spring",311
"2_812","'0007AFD6E3",0.36,366,"Spring",311
"2_812","'00079AA370",1.01,385,"Spring",311
"2_812","'00079A44D8",0.72,348,"Spring",311
"2_812","'00079A2ADC",0.53,341,"Spring",311
"2_812","'00079A5EAE",1.65,352,"Spring",311
"2_812","'00079A6412",0.75,352,"Spring",311
"2_812","'00079A1B9A",1.63,387,"Spring",311
"2_812","'0007B0197D",1.55,376,"Spring",311
"2_812","'0007AFDA4C",1.03,382,"Spring",311
"2_812","'0007AFDB02",0.55,348,"Spring",311
"2_812","'000783F523",0.86,369,"Spring",311
"2_812","'0007B10B59",1.02,386,"Spring",311
"2_812","'0007B1002E",1.12,382,"Spring",311
"2_812","'0007B11F84",1.27,244,"Spring",311
"2_812","'00079A086B",0.25,244,"Spring",311
"2_812","'000799FFB1",0.49,248,"Spring",311
"3_812","'0007B10326",0.99,187,"Spring",311
"3_812","'0007ABA10E",0.37,272,"Spring",311
"3_812","'0007B04C51",1,250,"Spring",311
"3_812","'0007B0CDCE",0.91,188,"Spring",311
