"X","focal_ID","focal_DOB","Date_Sampled","Genetic_Sex","Consensus_Sex","AGD_day13","AGD_age_10to15d","AGD_weight","AGD_tail_length","dam_ID","sire_ID","Genetic_LitterID_95CI","Genetic_LitterSize_95CI","Genetic_LitterID_80CI","Genetic_LitterSize_80CI","Social_LitterID","Social_LitterSize","Data_Type","Ind_Deathdate","sex.ratio.M","Density.DOB","Females.at.DOB","Season.DOB","Year_born","hairDate_1","hairDate_2","hairDate_3","Testo_pg.mg_1","Testo_pg.mg_2","Testo_pg.mg_3","Prog_pg.mg_1","Prog_pg.mg_2","Prog_pg.mg_3","Cort_pg.mg_1","Cort_pg.mg_2","Cort_pg.mg_3","AEA_ng.mg_1","AEA_ng.mg_2","AEA_ng.mg_3","AG2_ng.mg_1","AG2_ng.mg_2","AG2_ng.mg_3","OEA_ng.mg_1","OEA_ng.mg_2","OEA_ng.mg_3","Season.hair","sampleSeason_2","sampleSeason_3","closestPopCheck_hairSampling_1","closestPopCheck_hairSampling_2","closestPopCheck_hairSampling_3","Density.hair","Adults.at.hairSampling_2","Adults.at.hairSampling_3","Females.at.hairSampling_1","Females.at.hairSampling_2","Females.at.hairSampling_3","Date.1stLit","Age.1stLit","number_firstRepro","closestPopCheck_firstRepro","Density.1stLit","Females.at.firstRepro","motherCort","motherTesto","motherProg","motherAEA","mother2AG","motherOEA","motherPEA","motherSEA","motherSampleDate","Age_firstLit","closestPopCheck_hairSampling","Adults.at.hairSampling","Females.at.hairSampling","Age_last_seen","life.repro.success","life.repro.y.n","recruitment.y.n","Remarks","missing.tail.y.n","Testo","Year.Month_born","AGD.tail","AGD.weight","weight.tail","tail.day","Age.hair","closestPopCheck_1stLit","Females.at.1stLit","Season.1stLit","Date.Med.1stLit","Density.Med.1stLit","closestPopCheck_Med.1stLit","Females.at.Med.1stLit","Date.2months","Density.2months","closestPopCheck_Date.2months","Females.at.2months","Reproduction.y.n","Repro.onset","Date_last_seen_MM","Date_last_seen_PC","Date_death","Date_last_seen","Longevity"
94,"'0006B36920",2011-05-06,"2011-05-17","F","F",2.5,12,5.2,38,"'0006E9C1BE","'0006E2524B","'0006E9C1BE_A",6,"'0006E9C1BE_A",6,"2011051739_1",23,"P",NA,22.2222222222222,87,66,"spring","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,0,0,"yes",NA,"no",NA,"2011-05",-0.252851813130098,-0.434442130342133,0.297646731709395,-3.71752747173316,NA,NA,NA,NA,2011-09-18,181,2011-09-14,107,2011-07-05,163,2011-06-28,75,0,NA,NA,2011-06-28,NA,2011-07-28,83
99,"'0006B380D9",2011-05-10,"2011-05-23","F","F",3.9,13.5,5.8,49,"'0006E21DB8","'0006E9E4FE","'0006E21DB8_A",3,"'0006E21DB8_A",3,"2011051739_2",10,"P",NA,50,87,66,"spring","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,0,0,"yes","eyes.closed","no",NA,"2011-05",0.49057293360549,0.821559311110123,-1.03963270290435,2.19593821327114,NA,NA,NA,NA,2011-09-22,181,2011-09-14,107,2011-07-09,163,2011-06-28,75,0,NA,NA,2012-06-01,NA,2012-07-01,418
102,"'0006B3E94E",2011-06-09,"2011-06-21","F","F",2.6,13,5.5,44,"'0006E49154","'0006E2524B",NA,NA,"'0006E49154_B",6,"2011060939",9,"P","2012-07-02",50.4589006555724,163,75,"summer","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-26,291,1,"2012-03-26",145,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,389,3,1,"yes","parasites.3.fleas","no",NA,"2011-06",-0.510983769457286,-0.406441409617673,-0.45905114171511,-1.10855034842227,NA,2012-03-26,108,"Spring",2012-03-01,145,2012-03-26,108,2011-08-08,176,2011-08-03,96,1,"late",2012-01-17,2012-07-02,2012-07-02,2012-07-02,389
119,"'0006B8CB1F",2008-07-31,"2008-08-12","F","F",3.7,13,7.4,51,"'S000104825",NA,"'S000104825_A",1,"'S000004825_A",1,"20080812desk",9,"P",NA,0,82,46,"summer","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,"yes","eyes.closed","no",NA,"2008-07",0.171195614830677,0.237563154991359,0.208134672620354,5.89144965157773,NA,NA,NA,NA,2009-04-23,95,2009-05-06,55,2008-09-29,90,2008-09-09,47,0,NA,2008-10-01,2008-09-09,NA,2008-10-01,62
131,"'0006B8D420",2008-02-06,"2008-02-18","F","F",4.9,13,6.9,50,"'00068EA1C5","'00069B3702","'00068EA1C5_G",7,"'00068EA1C5_G",7,"2008020637",7,"P",NA,38.4615384615385,65,24,"winter","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,0,0,"yes",NA,"no",NA,"2008-02",1.43088427421811,1.55756195377846,-0.115749015141855,4.89144965157773,NA,NA,NA,NA,2008-05-31,84,2008-06-05,51,2008-04-06,52,2008-03-31,29,0,NA,2008-04-28,2008-04-25,NA,2008-04-28,82
136,"'0006B8D7E0",2008-04-09,"2008-04-21","F","F",4.2,13,6.6,43,"'0006CC7783","'0006B8C38E","'0006CC7783_D",6,"'0006CC7783_D",6,"2008041234",7,"P",NA,30.7692307692308,52,29,"spring","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,0,0,"yes",NA,"no",NA,"2008-04",1.14870488993015,0.929561233050714,0.81706517052268,-2.10855034842227,NA,NA,NA,NA,2008-08-22,90,2008-09-09,47,2008-06-08,84,2008-06-05,51,0,NA,2008-07-04,2008-07-04,NA,2008-07-04,86
138,"'0006B8D859",2008-02-06,"2008-02-18","F","F",4,13,6.3,48,"'00068EA1C5","'00069B3702","'00068EA1C5_G",7,"'00068EA1C5_G",7,"2008020637",7,"P",NA,38.4615384615385,65,24,"winter","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,0,0,"yes",NA,"no",NA,"2008-02",0.650261592992978,0.801560512322972,-0.363516390666274,2.89144965157773,NA,NA,NA,NA,2008-05-31,84,2008-06-05,51,2008-04-06,52,2008-03-31,29,0,NA,2008-05-09,2008-05-09,NA,2008-05-09,93
143,"'0006B8DC47",2008-03-31,"2008-04-12","F","F",3.6,13,7.2,45,"'0006CC454B","'0006B8C03C","'0006CC454B_B",3,"'0006CC454B_B",3,"2008033133",11,"P",NA,25,52,29,"spring","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,0,0,"yes",NA,"no",NA,"2008-03",0.42932757115528,0.185562674506198,1.0648325460471,-0.108550348422274,NA,NA,NA,NA,2008-08-13,82,2008-07-22,46,2008-05-30,84,2008-06-05,51,0,NA,2008-06-16,2008-06-10,NA,2008-06-16,77
144,"'0006B8DC71",2008-01-21,"2008-02-02","F","F",3.4,13,6.3,40,"'00068E97D0","'0006B9AD19","'00068E97D0_G",4,"'00068E97D0_G",4,"2008012939",5,"P",NA,42.8571428571429,65,24,"winter","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,0,0,"yes",NA,"no",NA,"2008-01",0.52777086809245,0.201560512322972,1.04541410723605,-5.10855034842227,NA,NA,NA,NA,2008-05-15,81,2008-04-25,46,2008-03-21,52,2008-03-31,29,0,NA,2008-04-09,2008-03-31,NA,2008-04-09,79
162,"'0006B8EBF2",2008-04-26,"2008-05-09","F","F",3.6,14,6.9,47,"'0006B9BAB9","'0006B8C03C","'0006B9BAB9_A",4,"'0006B9BAB9_A",4,"2008042434",5,"P",NA,62.5,81,46,"spring","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,"yes","eyes.closed","no",NA,"2008-04",0.309950252380412,0.257561953778456,0.412599921571517,-1.49957322504599,NA,NA,NA,NA,2008-09-08,90,2008-09-09,47,2008-06-25,84,2008-06-05,51,0,NA,NA,2008-06-05,NA,2008-07-05,70
